sourcePage,category,section,application,cataloguePartNumber,referenceNo,mrp,validationStatus,imageStatus
"8","Water Pump Assemblies","HEAVY TRUCKS AND BUSES ( H.C.V. )","L/L HINO 6 D ( 6 MM THREAD ON HUB )","M-508 A","B7016001 / P8100639 / B7016008 / B7016005","1916","READY","CROPPED_FROM_PAGE_RENDER"
"8","Water Pump Assemblies","HEAVY TRUCKS AND BUSES ( H.C.V. )","L/L HINO 4 D","M-509","B7019601 / P8100539","1894","READY","CROPPED_FROM_PAGE_RENDER"
"8","Water Pump Assemblies","HEAVY TRUCKS AND BUSES ( H.C.V. )","L/L HINO 6 E MODEL ( 416 ENGINE )","M-531","B7016007","1933","READY","CROPPED_FROM_PAGE_RENDER"
"8","Water Pump Assemblies","HEAVY TRUCKS AND BUSES ( H.C.V. )","L/L HINO EURO-II ( IMP O.D. 85 MM )","M-532","B8760406 / B7016011","2949","READY","CROPPED_FROM_PAGE_RENDER"
"8","Water Pump Assemblies","HEAVY TRUCKS AND BUSES ( H.C.V. )","L/L HINO EURO-II ( IMP O.D. 75 MM )","M-532 A","B8760406 / B7016011","2884","READY","CROPPED_FROM_PAGE_RENDER"
"8","Water Pump Assemblies","HEAVY TRUCKS AND BUSES ( H.C.V. )","L/L HINO 2519 BS4 ENG. SMALLER HOUSING","M-532 B","3113N / 3187N","2795","READY","CROPPED_FROM_PAGE_RENDER"
"8","Water Pump Assemblies","HEAVY TRUCKS AND BUSES ( H.C.V. )","L/L HINO EURO-III ( IMP O.D. 85 MM )","M-533","B8760401","2964","READY","CROPPED_FROM_PAGE_RENDER"
"9","Water Pump Assemblies","HEAVY TRUCKS AND BUSES ( H.C.V. )","L/L HINO EURO-IV TURBO NEW MODEL ( IMP O.D. 105 MM )","M-538 A","","3852","READY","CROPPED_FROM_PAGE_RENDER"
"9","Water Pump Assemblies","HEAVY TRUCKS AND BUSES ( H.C.V. )","L/L HINO EURO-III TURBO MODEL ( IMP O.D. 100 MM )","M-538","B8763401","3792","READY","CROPPED_FROM_PAGE_RENDER"
"9","Water Pump Assemblies","HEAVY TRUCKS AND BUSES ( H.C.V. )","L/L EVACO CARGO ( SPLIT TYPE CNG )","M-524","108670001 / 002 / 98465322 / 325 / 98497117 / 118","3371","READY","CROPPED_FROM_PAGE_RENDER"
