listKind,section,application,cataloguePartNumber,referenceNo,size,pcsPerSet,mrp,priceToDistributors,sellingPrice,stock,firm,validationStatus,reviewReasons,sourcePdf,sourceRow
"HCV","ASHOK LEYLAND","LEYLAND COMET 5 INCH (GIRLING BRAKE ASSLY)","MB/NA/AL/SM/1&2 (5"")/1MM","MB/NA/AL/SM/1&2 (5"")","1 MM","8","3046","1371","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","24"
"HCV","ASHOK LEYLAND","LEYLAND COMET 5 INCH (GIRLING BRAKE ASSLY)","MB/NA/AL/SM/1&2 (5"")/2MM","MB/NA/AL/SM/1&2 (5"")","2 MM","8","3150","1418","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","25"
"HCV","ASHOK LEYLAND","LEYLAND COMET 6 INCH (GIRLING BRAKE ASSLY)","MB/NA/AL/SM/7&8 (6"")/STD","MB/NA/AL/SM/7&8 (6"")","STD","8","3310","1490","","0","","REVIEW","no_authoritative_firm_mapping","C:/Users/acer/Downloads/REGULAR HCV.pdf","26"
"HCV","ASHOK LEYLAND","LEYLAND COMET 6 INCH (GIRLING BRAKE ASSLY)","MB/NA/AL/SM/7&8 (6"")/1MM","MB/NA/AL/SM/7&8 (6"")","1 MM","8","3414","1536","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","27"
"HCV","ASHOK LEYLAND","LEYLAND COMET 6 INCH (GIRLING BRAKE ASSLY)","MB/NA/AL/SM/7&8 (6"")/2MM","MB/NA/AL/SM/7&8 (6"")","2 MM","8","3466","1560","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","28"
"HCV","ASHOK LEYLAND","LEYLAND COMET 7 INCH (GIRLING BRAKE ASSLY)","MB/NA/AL/SM/3&4 (7"")/STD","MB/NA/AL/SM/3&4 (7"")","STD","8","3466","1560","","0","","REVIEW","no_authoritative_firm_mapping","C:/Users/acer/Downloads/REGULAR HCV.pdf","29"
"HCV","ASHOK LEYLAND","LEYLAND COMET 7 INCH (GIRLING BRAKE ASSLY)","MB/NA/AL/SM/3&4 (7"")/1MM","MB/NA/AL/SM/3&4 (7"")","1 MM","8","3570","1607","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","30"
"HCV","ASHOK LEYLAND","LEYLAND COMET 7 INCH (GIRLING BRAKE ASSLY)","MB/NA/AL/SM/3&4 (7"")/2MM","MB/NA/AL/SM/3&4 (7"")","2 MM","8","3624","1631","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","31"
"HCV","ASHOK LEYLAND","ASHOK LEYLAND HLP LINER 6 INCH","MB/NA/AL/HLP/7&8 (6"")/STD","MB/NA/AL/HLP/7&8 (6"")","STD","8","3570","1607","","0","","REVIEW","no_authoritative_firm_mapping","C:/Users/acer/Downloads/REGULAR HCV.pdf","32"
"HCV","ASHOK LEYLAND","ASHOK LEYLAND HLP LINER 6 INCH","MB/NA/AL/HLP/7&8 (6"")/1MM","MB/NA/AL/HLP/7&8 (6"")","1 MM","8","3676","1654","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","33"
"HCV","ASHOK LEYLAND","ASHOK LEYLAND HLP LINER 6 INCH","MB/NA/AL/HLP/7&8 (6"")/2MM","MB/NA/AL/HLP/7&8 (6"")","2 MM","8","3780","1701","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","34"
"HCV","ASHOK LEYLAND","ASHOK LEYLAND HLP LINER 7 INCH","MB/NA/AL/HLP/3&4 (7"")/STD","MB/NA/AL/HLP/3&4 (7"")","STD","8","3676","1654","","0","","REVIEW","no_authoritative_firm_mapping","C:/Users/acer/Downloads/REGULAR HCV.pdf","35"
"HCV","ASHOK LEYLAND","ASHOK LEYLAND HLP LINER 7 INCH","MB/NA/AL/HLP/3&4 (7"")/1MM","MB/NA/AL/HLP/3&4 (7"")","1 MM","8","3780","1701","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","36"
"HCV","ASHOK LEYLAND","ASHOK LEYLAND HLP LINER 7 INCH","MB/NA/AL/HLP/3&4 (7"")/2MM","MB/NA/AL/HLP/3&4 (7"")","2 MM","8","3886","1749","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","37"
"HCV","ASHOK LEYLAND","ASHOK LEYLAND HLP LINER 8 INCH","MB/NA/AL/HLP/10&11 (8"")/STD","MB/NA/AL/HLP/10&11 (8"")","STD","8","3990","1796","","0","","REVIEW","no_authoritative_firm_mapping","C:/Users/acer/Downloads/REGULAR HCV.pdf","38"
"HCV","ASHOK LEYLAND","ASHOK LEYLAND HLP LINER 8 INCH","MB/NA/AL/HLP/10&11 (8"")/1MM","MB/NA/AL/HLP/10&11 (8"")","1 MM","8","4096","1843","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","39"
"HCV","ASHOK LEYLAND","ASHOK LEYLAND HLP LINER 8 INCH","MB/NA/AL/HLP/10&11 (8"")/2MM","MB/NA/AL/HLP/10&11 (8"")","2 MM","8","4200","1890","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","40"
"HCV","BHARAT BENZ","BHARAT BENZ","MB/NA/TB/1/STD","MB/NA/TB/1","STD","8","5214","2346","","0","","REVIEW","no_authoritative_firm_mapping","C:/Users/acer/Downloads/REGULAR HCV.pdf","42"
"HCV","BHARAT BENZ","BHARAT BENZ","MB/NA/TB/1/1MM","MB/NA/TB/1","1 MM","8","5564","2504","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","43"
"HCV","BHARAT BENZ","BHARAT BENZ","MB/NA/TB/1/2MM","MB/NA/TB/1","2 MM","8","6196","2788","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","44"
"HCV","BHARAT BENZ","BHARAT BENZ","MB/NA/TB/2/STD","MB/NA/TB/2","STD","8","5600","2520","","0","","REVIEW","no_authoritative_firm_mapping","C:/Users/acer/Downloads/REGULAR HCV.pdf","45"
"HCV","BHARAT BENZ","BHARAT BENZ","MB/NA/TB/2/1MM","MB/NA/TB/2","1 MM","8","6616","2977","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","46"
"HCV","BHARAT BENZ","BHARAT BENZ","MB/NA/TB/2/2MM","MB/NA/TB/2","2 MM","8","7246","3261","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","47"
"HCV","EICHER MOTOR","EICHER MOTOR","MB/NA/EICHER(14 HOLE)/STD","MB/NA/EICHER(14 HOLE)","STD","8","5250","2363","","0","","REVIEW","no_authoritative_firm_mapping","C:/Users/acer/Downloads/REGULAR HCV.pdf","49"
