part_number,part_name,source_rate,selling_price,mrp,moq,uom,firm,validation_status
"36143","OUTSIDE DOOR HANDLE  WITH BASE WITHOUT KEY HOLE FRONT LH (SENSOR TYPE) (BLACK) KIA SONET","0","","","1","PCS","Ambaji Traders","READY"
"36144","OUTSIDE DOOR HANDLE ONLY WITHOUT BASE WITH KEY HOLE FRONT RH (BLACK) HYUNDAI VENUE 2026 N/M","0","","","1","PCS","Ambaji Traders","READY"
"36145","OUTSIDE DOOR HANDLE ONLY WITHOUT BASE WITHOUT KEY HOLE FRONT LH (BLACK) HYUNDAI VENUE 2026 N/M","0","","","1","PCS","Ambaji Traders","READY"
"36146","OUTSIDE DOOR HANDLE ONLY WITHOUT BASE REAR LH -  RH (BLACK) HYUNDAI VENUE 2026 N/M","0","","","1","PCS","Ambaji Traders","READY"
"36147","OUTSIDE DOOR HANDLE WITH BASE WITH KEY HOLE FRONT RH (BLACK) HYUNDAI VENUE 2026 N/M","0","","","1","PCS","Ambaji Traders","READY"
"36148","OUTSIDE DOOR HANDLE WITH BASE WITHOUT KEY HOLE FRONT LH (BLACK) HYUNDAI VENUE 2026 N/M","0","","","1","PCS","Ambaji Traders","READY"
"36149","OUTSIDE DOOR HANDLE WITH BASE REAR LH -  RH (BLACK) HYUNDAI VENUE 2026 N/M","0","","","1","PCS","Ambaji Traders","READY"
"36150","OUTSIDE DOOR HANDLE ONLY WITHOUT BASE WITH KEY HOLE FRONT RH (CHROME) HYUNDAI VERNA FLUIDIC","0","","","1","PCS","Ambaji Traders","READY"
"36151","OUTSIDE DOOR HANDLE ONLY WITHOUT BASE WITHOUT KEY HOLE FRONT LH (CHROME) HYUNDAI VERNA FLUIDIC","0","","","1","PCS","Ambaji Traders","READY"
"36152","OUTSIDE DOOR HANDLE ONLY WITHOUT BASE REAR LH -  RH (CHROME) HYUNDAI VERNA FLUIDIC","0","","","1","PCS","Ambaji Traders","READY"
"36153","OUTSIDE DOOR HANDLE WITH BASE WITH KEY HOLE FRONT RH (CHROME) HYUNDAI VERNA FLUIDIC","0","","","1","PCS","Ambaji Traders","READY"
"36154","OUTSIDE DOOR HANDLE WITH BASE WITHOUT KEY HOLE FRONT LH (CHROME) HYUNDAI VERNA FLUIDIC","0","","","1","PCS","Ambaji Traders","READY"
"36155","OUTSIDE DOOR HANDLE WITH BASE REAR LH -  RH (CHROME) HYUNDAI VERNA FLUIDIC","0","","","1","PCS","Ambaji Traders","READY"
"36156","OUTSIDE DOOR HANDLE WITH BASE WITH KEY HOLE FRONT RH (BLACK) NISSAN MICRA","0","","","1","PCS","Ambaji Traders","READY"
"36157","OUTSIDE DOOR HANDLE WITH BASE WITHOUT KEY HOLE FRONT LH, REAR LH - RH (BLACK) NISSAN MICRA","0","","","1","PCS","Ambaji Traders","READY"
"36158","OUTSIDE DOOR HANDLE ONLY WITHOUT BASE WITH KEY HOLE FRONT RH (CHROME) HYUNDAI I-10 NIOS, AURA","0","","","1","PCS","Ambaji Traders","READY"
"36161","OUTSIDE DOOR HANDLE WITH BASE WITH KEY HOLE FRONT RH (CHROME) HYUNDAI I-10 NIOS, AURA","0","","","1","PCS","Ambaji Traders","READY"
"36162","OUTSIDE DOOR HANDLE WITH BASE WITHOUT KEY HOLE FRONT LH (CHROME) HYUNDAI I-10 NIOS, AURA","0","","","1","PCS","Ambaji Traders","READY"
"36163","OUTSIDE DOOR HANDLE WITH BASE REAR LH -  RH (CHROME) HYUNDAI I-10 NIOS, AURA","0","","","1","PCS","Ambaji Traders","READY"
"36164","OUTSIDE DOOR HANDLE ONLY WITHOUT BASE WITH KEY HOLE FRONT RH (SENSOR TYPE) (BLACK) HONDA CITY","0","","","1","PCS","Ambaji Traders","READY"
"36165","OUTSIDE DOOR HANDLEONLY WITHOUT  BASE WITHOUT KEY HOLE FRONT LH (SENSOR TYPE) (BLACK) HONDA CITY","0","","","1","PCS","Ambaji Traders","READY"
"36166","OUTSIDE DOOR HANDLE ONLY WITHOUT LOCK AND KEYS DAF TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"50001","GEAR SELECT CABLE FORCE TEMPO TRAVELLER BS-VI (16 SEATER)","0","","","1","PCS","Ambaji Traders","READY"
"50002","HAND BRAKE CABLE ( LENGTH-1460MM) FORCE TEMPO TRAVELLER","0","","","1","PCS","Ambaji Traders","READY"
"50006","GEAR SHIFT CABLE FORCE TEMPO TRAVELLER BS-VI (16 SEATER)","0","","","1","PCS","Ambaji Traders","READY"
"53021","DOOR HINGES ( BLACK ) BAJAJ COMPACT 3-WHEELER","0","","","1","PCS","Ambaji Traders","READY"
