part_number,part_name,source_rate,selling_price,mrp,moq,uom,firm,validation_status
"3333R","WINDOW REG FRONT HYUNDAI ATOZ MANUA","0","","","1","PCS","Ambaji Traders","READY"
"3334L","WINDOW REG REAR HYUNDAI ATOZ MANUAL","0","","","1","PCS","Ambaji Traders","READY"
"3334R","WINDOW REG REAR HYUNDAI ATOZ MANUA","0","","","1","PCS","Ambaji Traders","READY"
"3361R","WINDOW REGULATOR ASSY.  TOYOTA HILUX “82~89” REAR","0","","","1","Pcs","Ambaji Traders","READY"
"3385L","WINDOW REGULATOR ASSY.POWER VOLVO FL","0","","","1","Pcs","Ambaji Traders","READY"
"3385R","WINDOW REGULATOR ASSY. POWER VOLVO FR","0","","","1","Pcs","Ambaji Traders","READY"
"3475","BATTERY BOX LATCH WITH LOCK & KEYS MBENZ TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"3481","BONNET LOCK MARUTI SUZUKI ERTIGA 1ST GEN (2012-2018","0","","","1","PCS","Ambaji Traders","READY"
"3550","WIPER WASHER NOZZLE SINGLE HOLE TOYOTA COROLLA","0","","","1","PCS","Ambaji Traders","READY"
"3551","WIPER WASHER NOZZLE DOUBLE HOLE  TOYOTA COROLLA","0","","","1","PCS","Ambaji Traders","READY"
"3559","BONNET ROD HOLDER CLIP (SMALL) TOYOTA COROLLA","0","","","1","PCS","Ambaji Traders","READY"
"3560","BONNET ROD HOLDER CLIP (BIG, BEND TYPE) TOYOTA COROLLA","0","","","1","PCS","Ambaji Traders","READY"
"3561","BONNET/HOOD SUPPORT ROD CLIP TOYOTA COROLLA ALTIS","0","","","1","PCS","Ambaji Traders","READY"
"3569","WIPER NOZZLE M.BENZ MP1, MP2, MP3 MP4 ACTROS TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"3576","RUUBER PLUG SMALL FOR FOOT STEP (ROUND TYPE) M.BENZ MP4 ACTROS TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"3578","CLIP M.BENZ MP4 ACTROS TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"3583","WIPER ARM COVER (PLASTIC) M. BENZ MP4 TRUCK","0","","","1","Pcs","Ambaji Traders","READY"
"3584","PLASTIC COVER PLUG FOR LID M. BENZ MP4 TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"3594","BONNET STEP HINGE BRACKET (PLASTIC) M.BENZ MP4 ACTROS TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"4027","CABIN SHOCK ABSORBER TOYOTA KIJANG (QUALIS)","0","","","1","PCS","Ambaji Traders","READY"
"4029","CABIN SHOCK ABSORBER TOYOTA HILUX, FORTUNER","0","","","1","PCS","Ambaji Traders","READY"
"4132","CABLE OF REMOTE CONTROL ASSY. OF SLIDING DOOR TOYOTA QUANTUM 2006 H-200","0","","","1","PCS","Ambaji Traders","READY"
"4133","CABLE OF TRUNKLID LATCH ASSY. TOYOTA HIACE 2006 (QUANTUM) H-200","0","","","1","PCS","Ambaji Traders","READY"
"4134","CABLE OF MAIN LATCH OF SLIDING DOOR TOYOTA HIACE 2006 (QUANTUM) H-200","0","","","1","PCS","Ambaji Traders","READY"
"4135","CABLE OF SECONDARY  LATCH OF SLIDING DOOR TOYOTA HIACE 2006 (QUANTUM)  H-200","0","","","1","PCS","Ambaji Traders","READY"
"4139","CABLE OF TRUNKLID  LATCH OPENER  TOYOTA COROLLA","0","","","1","PCS","Ambaji Traders","READY"
"4169","WIRE FOR INSIDE DOOR HANDLE M.BENZ MP4 ACTROS TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"4172","DOOR LATCH CABLE ONLY M.BENZ MP4 ACTROS TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"4263","OUTSIDE HANDLE TOYOTA INNOVA / CAMRY-2001  FRONT BLACK","0","","","1","PCS","Ambaji Traders","READY"
"4274","OUTSIDE DOOR HANDLE  TOYOTA HILUX “98” REAR","0","","","1","Pcs","Ambaji Traders","READY"
