part_number,part_name,description,brand,category,sku,hsn,gst,moq,uom,source_rate,mrp,selling_price,oem_number,vehicle_make,source_url,source_image_url,validation_status,firm
"31511","GEAR LEVER KNOB BOLERO BLACK & BEIGE","GEAR LEVER KNOB BOLERO BLACK & BEIGE","CI AUTOMOTIVE LLP","GEAR LEVER KNOBS","31511","87089900","18","1","Pcs","149","","149","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31511.jpg?v=1393","READY","Ambaji Traders"
"31512","POWER WINDOW SWITCH FRH (MASTER) SCORPIO CRDI","POWER WINDOW SWITCH FRH (MASTER) SCORPIO CRDI","CI AUTOMOTIVE LLP","POWER WINDOW SWITCHES","31512","853650","18","1","Pcs","1951","","1951","#0111G0060N WITH COVER ,#0111JAG00121N WITH COVER  ,#0111JG0081A ,#0111JAG00101N ,#0111JAG00131N","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31512.png?v=1393","READY","Ambaji Traders"
"31513","POWER WINDOW SWITCH FRH (MASTER) BOLERO ZLX","POWER WINDOW SWITCH FRH (MASTER) BOLERO ZLX","CI AUTOMOTIVE LLP","POWER WINDOW SWITCHES","31513","853650","18","1","Pcs","1050","","1050","#0111JAN00171N","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31513.png?v=1393","READY","Ambaji Traders"
"31514","HANDLE CAP ONLY SCORPIO N/M,M-HAWK,M-HYBRID REAR","HANDLE CAP ONLY SCORPIO N/M,M-HAWK,M-HYBRID REAR","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","31514","","18","1","Pcs","50","","50","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31514.jpg?v=1393","READY","Ambaji Traders"
"31515","BUMPER BRACKET BOLERO MAXI TRUCK DIESEL","BUMPER BRACKET BOLERO MAXI TRUCK DIESEL","CI AUTOMOTIVE LLP","BUMPER BRACKETS","31515","87089900","18","1","Pcs","146","","146","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31515.jpg?v=1393","READY","Ambaji Traders"
"31516","FOG LAMP COVER BOLERO T-1,T-2","FOG LAMP COVER BOLERO T-1,T-2","CI AUTOMOTIVE LLP","FOG LAMP COVER","31516","87089900","18","1","Set","121","","121","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31516.jpg?v=1393","READY","Ambaji Traders"
"31517","FOG LAMP COVER BOLERO T-3","FOG LAMP COVER BOLERO TYPE-3","CI AUTOMOTIVE LLP","FOG LAMP COVER","31517","87089900","18","1","Set","145","","145","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31517.jpg?v=1393","READY","Ambaji Traders"
"31518","BUMPER HOCKEY WHITE (SET OF 2 PCS) BOLERO N/M","BUMPER HOCKEY WHITE (SET OF 2 PCS) BOLERO N/M","CI AUTOMOTIVE LLP","BUMPER BRACKETS","31518","87089900","18","1","Set","160","","160","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31518.jpg?v=1393","READY","Ambaji Traders"
"31519","IGN LOCK MAHINDRA DI TRACTOR","IGINITION LOCK MAHINDRA DI TRACTOR","CI AUTOMOTIVE LLP","Uncategorized","31519","83012000","18","1","Pcs","305","","305","","","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31519.jpeg?v=1393","READY","Ambaji Traders"
"31520","BONNET HINGES MAJOR","BONNET HINGES MAJOR","CI AUTOMOTIVE LLP","BONNET HINGES","31520","830230","18","1","Pcs","369","","369","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31520.jpg?v=1393","READY","Ambaji Traders"
