sourceId,sku,name,brand,categoryName,oeCode,hsn,gst,moq,uom,sourcePrice,source_rate,mrp,selling_price,statusSource,vehicleTypes,imageUrl,localImagePath,imageStatus,validationStatus,sourceUrl,firm
"P14498","32248","OUTSIDE DOOR HANDLE COVER ONLY (CHROME) NAVISTAR","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","","","18","1","PCS","0","0","","","active","MAHINDRA TRUCK","https://onlineautohandles.com/product-images/32248.png?v=1393","data/source-catalogue/images/32248.png","downloaded","REVIEW","https://onlineautohandles.com/b2b",""
"P14090","32249","OUTSIDE DOOR HANDLE COVER ONLY BLACK NAVISTAR","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","","","18","1","Pcs","105","105","","105","Live","MAHINDRA TRUCK","https://onlineautohandles.com/product-images/32249.jpg?v=1393","data/source-catalogue/images/32249.jpg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P14091","32250","OUTER HANDLE CAP ONLY W/HOLE (CHROME) VERNA FLUIDIC","","Uncategorized","","","18","1","Pcs","99","99","","99","Live","","https://onlineautohandles.com/product-images/32250.jpg?v=1393","data/source-catalogue/images/32250.jpg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P14092","32252","TAIL GATE HANDLE (BLACK) R CELERIO","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","","","18","1","Pcs","245","245","","245","Live","MARUTI SUZUKI (CAR)","https://onlineautohandles.com/product-images/32252.jpeg?v=1393","data/source-catalogue/images/32252.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P8990","032253L,M1","OUTER HANDLE EUTECH 6 EICHER PRO 2049,2059,2110,2114XP,2095XP,2050,2080XPT LH","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","","","18","1","Pcs","578","578","","578","Live","LCV'S","https://onlineautohandles.com/product-images/32253.jpeg?v=1393","data/source-catalogue/images/032253L_M1.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P8991","032253R,M1","OUTER HANDLE EUTECH 6 EICHER PRO 2049,2059,2110,2114XP,2095XP,2050,2080XPT RH","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","","","18","1","Pcs","578","578","","578","Live","LCV'S","https://onlineautohandles.com/product-images/32253.jpeg?v=1393","data/source-catalogue/images/032253R_M1.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9371","032254R","OUTER HANDLE WITH BASE  WITH KEYHOLE VENUE  REAR RH","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","","87089900","18","1","Pcs","878","878","","878","Live","HYUNDAI","https://onlineautohandles.com/product-images/32254.jpeg?v=1393","data/source-catalogue/images/032254R.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9372","032255L","OUTSIDE DOOR HANDLE ASSY W/BASE W/O KEYHOLE VENUE FRONT LH","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","","8708990","18","1","Pcs","878","878","","878","Live","HYUNDAI","https://onlineautohandles.com/product-images/32255.jpeg?v=1393","data/source-catalogue/images/032255L.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9369","032256L","OUTSIDE DOOR HANDLE VENUE W/BASE REAR LEFT","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","","8708990","18","1","Pcs","878","878","","878","Live","HYUNDAI","https://onlineautohandles.com/product-images/32256.jpeg?v=1393","data/source-catalogue/images/032256L.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9370","032256R","OUTSIDE DOOR HANDLE VENUE W/BASE REAR RIGHT","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","","8708990","18","1","Pcs","878","878","","878","Live","HYUNDAI","https://onlineautohandles.com/product-images/32256.jpeg?v=1393","data/source-catalogue/images/032256R.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9137","032257R","OUTSIDE DOOR HANDLE VERNA FLUIDIC N/M W/BASE W/KEYHOLE FRONT RIGHT","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","","87089900","18","1","Pcs","878","878","","878","Live","HYUNDAI","https://onlineautohandles.com/product-images/32257.jpeg?v=1393","data/source-catalogue/images/032257R.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9138","032258L","OUTSIDE DOOR HANDLE ASSY VERNA FLUIDIC N/M W/BASE W/O KEYHOLE FRONT LEFT","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","","8708990","18","1","Pcs","878","878","","878","Live","HYUNDAI","https://onlineautohandles.com/product-images/32258.jpeg?v=1393","data/source-catalogue/images/032258L.jpeg","downloaded","READY","https://onlineautohandles.com/b2b",""
