status,partNumber,application,oem,category,subcategory,sourceUrl,officialImageUrl,imageFile,mrp,sellingPrice,stock
READY,M-544,CUMMINS ENGINE 125 / 160 / 200 / 250 KV W.P. (WITH TWIN GROOVE PULLEY),3166497,Automotive Water Pump Assemblies,D.G. Gensets,https://mekoautoindia.com/product/m-544,https://mekoautoindia.com/image/catalog/product_images/M-544.png,M-544.png,,,0
READY,M-551 A / M-1027,CUMMINS ENG. 6CT 6CTA C8.3L (3 HOLE MOUNTING),3966841 / 5402699 3966841,Automotive Water Pump Assemblies,D.G. Gensets,https://mekoautoindia.com/product/m-551-a-m-1027,https://mekoautoindia.com/image/catalog/product_images/M-551A-M-1027.png,M-551_A_M-1027.png,,,0
READY,M-551 / M-1027 A,CUMMINS 6 CT DEISEL ENG. (OLD MODEL) (3 HOLE MOUNTING),3905357,Automotive Water Pump Assemblies,D.G. Gensets,https://mekoautoindia.com/product/m-551-m-1027-a,https://mekoautoindia.com/image/catalog/product_images/M-551M-1027A.png,M-551_M-1027_A.png,,,0
READY,M-1026,CUMMINS 6BT DIESEL ENG. (WITH SG IRON GRADED AND HARDENED PULLEY) (S.M. IMPELLER OF GERMAN / AMERICA,3286278 / 3903749 | 3913432 / 3802358,Automotive Water Pump Assemblies,,https://mekoautoindia.com/product/m-1026,https://mekoautoindia.com/image/catalog/product_images/M-1026.2.png,M-1026.png,,,0
READY,M-1028,CUMMINS M11 / ISM DIESEL ENGINE (LONG SHAFT TYPE) (WITHOUT BASE COVER),2882144 / 3068848 | 3073693 / 3800737 | 3803260,Automotive Water Pump Assemblies,D.G. Gensets,https://mekoautoindia.com/product/m-1028,https://mekoautoindia.com/image/catalog/product_images/M-1028.2.png,M-1028.png,,,0
READY,M-1028 C,CUMMINS M11 / ISM DIESEL ENGINE (LONG SHAFT TYPE) (WITH BASE COVER),2882144 / 3068848 | 3073693 / 3800737 | 3803260,Automotive Water Pump Assemblies,D.G. Gensets,https://mekoautoindia.com/product/m-1028-c,https://mekoautoindia.com/image/catalog/product_images/M-1028C.2.png,M-1028_C.png,,,0
READY,M-1028 A,CUMMINS QSM11 DIESEL ENGINE (SHORT SHAFT TYPE) (WITHOUT BASE COVER),4972857 / 4955706 / 4926553,Automotive Water Pump Assemblies,D.G. Gensets,https://mekoautoindia.com/product/m-1028-a,https://mekoautoindia.com/image/catalog/product_images/M-1028A.1.png,M-1028_A.png,,,0
READY,M-513,LEYLAND 3416 / JCB 430Z LOADER (TWIN PORT OUTLET) T-11 (WITH BRASS IMPELLER),B7007101 / 03 | B20287902,Automotive Water Pump Assemblies,Heavy Trucks And Buses,https://mekoautoindia.com/product/m-513,https://mekoautoindia.com/image/catalog/product_images/M-513.2.png,M-513.png,,,0
READY,M-513 MD,LEYLAND 3416 (WITH NYLON GLASS FILLED PLASTIC IMPELLER),B7007101 / 03 B20287902,Automotive Water Pump Assemblies,Heavy Trucks And Buses,https://mekoautoindia.com/product/m-513-md,https://mekoautoindia.com/image/catalog/product_images/M-513%20MD.png,M-513_MD.png,,,0
READY,M-513 A,"LEYLAND 3416 (WITH VENT HOLE ON HOUSING, & 4 HOLE HUB)",B8719201,Automotive Water Pump Assemblies,Heavy Trucks And Buses,https://mekoautoindia.com/product/m-513-a,https://mekoautoindia.com/image/catalog/product_images/M-513A.1.png,M-513_A.png,,,0
READY,M-515,LEYLAND GENSET 401 402 / T-11 (WITH SIDE OUTLET PIPE IN HOUSING),B7007101 B2027902,Automotive Water Pump Assemblies,Heavy Trucks And Buses,https://mekoautoindia.com/product/m-515,https://mekoautoindia.com/image/catalog/product_images/M-515.png,M-515.png,,,0
READY,M-515 CA,LEYLAND 3416 (WITH SIDE OUTLET PIPE IN HOUSING) (WITH BIG BASE PLATE),B7007101 B2027902,Automotive Water Pump Assemblies,Heavy Trucks And Buses,https://mekoautoindia.com/product/m-515-ca,https://mekoautoindia.com/image/catalog/product_images/M-515%20CA.png,M-515_CA.png,,,0
READY,M-513 CA,LEYLAND 3416 (WITH BIG BASE PLATE),B7007101 / 03 B20287902,Automotive Water Pump Assemblies,Heavy Trucks And Buses,https://mekoautoindia.com/product/m-513-ca,https://mekoautoindia.com/image/catalog/product_images/M-513CA.2.png,M-513_CA.png,,,0
READY,M-510,LEYLAND 400 / 401 (TWIN PORT OUTLET) (WITH BRASS IMPELLER),F7475800 / B2000808 600778 / K1108414 A7046800,Automotive Water Pump Assemblies,Heavy Trucks And Buses,https://mekoautoindia.com/product/m-510,https://mekoautoindia.com/image/catalog/product_images/m-510.png,M-510.png,,,0
READY,M-510 MD,LEYLAND 400 / 401 (TWIN PORT OUTLET) (WITH NYLON GLASS FILLED PLASTIC IMPELLER),F7475800 / B2000808 600778 / K1108414 A7046800,Automotive Water Pump Assemblies,Heavy Trucks And Buses,https://mekoautoindia.com/product/m-510-md,https://mekoautoindia.com/image/catalog/product_images/M-510%20MD.png,M-510_MD.png,,,0
READY,M-510 CA,LEYLAND 400 / 401 (TWIN PORT OUTLET) (WITH BIG BASE PLATE),F7475800 / B2000808 600778 / K1108414 A7046800,Automotive Water Pump Assemblies,Heavy Trucks And Buses,https://mekoautoindia.com/product/m-510-ca,https://mekoautoindia.com/image/catalog/product_images/M-510%20CA.png,M-510_CA.png,,,0
READY,M-506,LEYLAND 370 MARINE INDUSTRIAL ENGINE,B2000801 / NPN1 | 604006 / 600718 | B2000805,Automotive Water Pump Assemblies,Heavy Trucks And Buses,https://mekoautoindia.com/product/m-506,https://mekoautoindia.com/image/catalog/product_images/M-506.1.png,M-506.png,,,0
READY,M-532,HINO EURO-II (IMPELLER DIA : 85 MM),B8760406 / B7016011,Automotive Water Pump Assemblies,Heavy Trucks And Buses,https://mekoautoindia.com/product/m-532,https://mekoautoindia.com/image/catalog/product_images/M-532.1.png,M-532.png,,,0
READY,M-532 A,HINO EURO-II (IMPELLER DIA : 75 MM),B8760406 / B7016011,Automotive Water Pump Assemblies,Heavy Trucks And Buses,https://mekoautoindia.com/product/m-532-a,https://mekoautoindia.com/image/catalog/product_images/M-532A.1.png,M-532_A.png,,,0
READY,M-532 B,LEYLAND HINO 2519 BS-IV ENG. 3113 N / 3187 524 (SMALLER HOUSING) (IMPELLER DIA : 85 MM),3113N / 3187N,Automotive Water Pump Assemblies,Heavy Trucks And Buses,https://mekoautoindia.com/product/m-532-b,https://mekoautoindia.com/image/catalog/product_images/M-532B.1.png,M-532_B.png,,,0
READY,M-533,HINO EURO-II 3516 / 4018 (IMPELLER DIA : 85 MM),B8760401 2323,Automotive Water Pump Assemblies,Heavy Trucks And Buses,https://mekoautoindia.com/product/m-533,https://mekoautoindia.com/image/catalog/product_images/M-533.1.png,M-533.png,,,0
READY,M-538,HINO EURO-III / EURO-IV BS-IV CRS A/L 1812 & 222 WB 16.11 (7 HOLES PUMP) (IMPELLER DIA : 100 MM),B8763401,Automotive Water Pump Assemblies,,https://mekoautoindia.com/product/m-538,https://mekoautoindia.com/image/catalog/product_images/M-538.2.png,M-538.png,,,0
READY,M-538 A,HINO EURO-VI (IMPELLER DIA : 105 MM) (WITH THREE ADDITIONAL HOLES FOR SPARE-PART FITMENT),B4T05501,Automotive Water Pump Assemblies,,https://mekoautoindia.com/product/m-538-a,https://mekoautoindia.com/image/catalog/product_images/M-538A.2.png,M-538_A.png,,,0
READY,M-508,HINO 6 D ( 6 CYLINDER ) ( 8 MM THREAD ON HUB ),B7016001 / P8100639 / B7016008,Automotive Water Pump Assemblies,Heavy Trucks And Buses,https://mekoautoindia.com/product/m-508,https://mekoautoindia.com/image/catalog/product_images/M-508.2.png,M-508.png,,,0
READY,M-508 A,HINO 6 D ( 4 CYLINDER ) ( 6 MM THREAD ON HUB ) LEYLAND HINO CHINESE ENGINE FOR 40KVA DG,B7016001 / P8100639 B7016008 / B7016005,Automotive Water Pump Assemblies,Heavy Trucks And Buses,https://mekoautoindia.com/product/m-508-a,https://mekoautoindia.com/image/catalog/product_images/M-508%20A.png,M-508_A.png,,,0
READY,M-531,HINO 6 E MODEL ( 416 ENGINE ),B7016007,Automotive Water Pump Assemblies,Heavy Trucks And Buses,https://mekoautoindia.com/product/m-531,https://mekoautoindia.com/image/catalog/product_images/M-531.png,M-531.png,,,0
READY,M-509,HINO 4 D,B7019601 / P8100539,Automotive Water Pump Assemblies,Heavy Trucks And Buses,https://mekoautoindia.com/product/m-509,https://mekoautoindia.com/image/catalog/product_images/M-509.2.png,M-509.png,,,0
READY,M-521,MAN TRUCK ( BIG CAST IRON PUMP ),5106500 6606 / 6612 / 9606 / 9612,Automotive Water Pump Assemblies,Heavy Trucks And Buses,https://mekoautoindia.com/product/m-521,https://mekoautoindia.com/image/catalog/product_images/M-521.2.png,M-521.png,,,0
READY,M-521 A,MAN TIPPER TRUCK TGL 8.180 E4 CLA 31.300 ( ALUM. BODY ),CLA 31.300 / 51.06500-6699 / 51.06500-6679,Automotive Water Pump Assemblies,Heavy Trucks And Buses,https://mekoautoindia.com/product/m-521-a,https://mekoautoindia.com/image/catalog/product_images/M-521A.2.png,M-521_A.png,,,0
READY,M-671,EICHER PRO 11.10 (BIG PLAIN HUB),ID 312896 / ID 312620,Automotive Water Pump Assemblies,Light Trucks And Buses,https://mekoautoindia.com/product/m-671,https://mekoautoindia.com/image/catalog/product_images/M-671.2.png,M-671.png,,,0
READY,M-671 A,"EICHER BS-II CANTER BIG LATEST MODEL (FAN DIA: 30 MM, HUB COLLAR THREAD M 24*1.5 L.H) (HUB WITH 4 THREADED HOLES)",ID 309565,Automotive Water Pump Assemblies,Light Trucks And Buses,https://mekoautoindia.com/product/m-671-a,https://mekoautoindia.com/image/catalog/product_images/M-671%20A.2.png,M-671_A.png,,,0
